Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2016-10-01 13:19:13.02,2016-10-01 08:19:13.02,0,46.801095,-92.111618,5,350.6595115661621,3,0,0,0,-1,271.2587280273438,272.1804504394531,20,0.607699461174703
2016-10-01 13:19:13.75,2016-10-01 08:19:13.75,0,46.801095,-92.111618,5,350.6595115661621,3,0,0,0,-1,271.2587280273438,272.1804504394531,20,0.6089034072339841
2016-10-01 13:19:13.78,2016-10-01 08:19:13.78,0,46.801095,-92.111618,5,350.6595115661621,3,0,0,0,-1,271.2587280273438,272.1804504394531,20,0.6089034072339841
2016-10-01 13:19:19.00,2016-10-01 08:19:19.00,5.238442778587341,46.801050,-92.111656,5,349.4455223083496,3,5.69853740857922,1.159999966621399,0,254.8828125,282.569580078125,283.4913024902344,20,0.8555521957396529
2016-10-01 13:19:24.52,2016-10-01 08:19:24.52,5.238442778587341,46.801050,-92.111656,5,349.1491966247559,3,5.69853740857922,1.159999966621399,1.169999957084656,254.8828125,282.569580078125,283.4913024902344,20,0.8555521957396529
2016-10-01 13:19:25.00,2016-10-01 08:19:25.00,11.23569816350937,46.801025,-92.111719,5,349.6147727966309,3,11.26963201813295,1.059999942779541,1.169999957084656,255.234375,250.6296234130859,251.5513458251953,20,1.080725781140458
2016-10-01 13:19:30.00,2016-10-01 08:19:30.00,16.23569881916046,46.801009,-92.111783,5,348.8579978942871,3,16.49432994566459,1.110000014305115,1.169999957084656,259.453125,255.757568359375,256.6792907714844,20,1.288860480623796
2016-10-01 13:19:34.00,2016-10-01 08:19:34.00,20.23569959402084,46.800999,-92.111848,5,348.6812400817871,3,21.56193062943811,1.429999947547913,1.169999957084656,258.75,262.1471862792969,263.0689086914062,20,2.06384696025749
2016-10-01 13:19:39.00,2016-10-01 08:19:39.00,25.23569869995117,46.800993,-92.111915,5,348.0737571716309,3,26.72576296599555,1.009999990463257,1.169999957084656,254.8828125,252.1310119628906,253.052734375,20,4.045049519407541
2016-10-01 13:19:39.55,2016-10-01 08:19:39.55,25.23569869995117,46.800993,-92.111915,5,348.0737571716309,3,26.72576296599555,1.009999990463257,1.016666650772095,254.8828125,252.1310119628906,253.052734375,20,4.045049519407541
2016-10-01 13:19:40.00,2016-10-01 08:19:40.00,26.2356983423233,46.800993,-92.111915,5,347.6742210388184,3,26.72576296599555,0,1.016666650772095,254.8828125,253.6957397460938,254.6174621582031,20,20.25043307992134
2016-10-01 13:19:40.72,2016-10-01 08:19:40.72,26.2356983423233,46.800993,-92.111915,5,347.6742210388184,3,26.72576296599555,0,1.016666650772095,254.8828125,253.6957397460938,254.6174621582031,20,20.25043307992134
2016-10-01 13:23:04.00,2016-10-01 08:23:04.00,26.02498012781143,46.801019,-92.111909,5,349.8263816833496,4,26.72576296599555,0,1.016666650772095,166.640625,271.7525329589844,272.6742553710938,20,1.919852139103787
2016-10-01 13:23:04.94,2016-10-01 08:23:04.94,26.96642601490021,46.801019,-92.111909,5,349.8263816833496,4,29.71315644400228,0,1.016666650772095,166.640625,271.7525329589844,272.6742553710938,20,1.889063401945544
2016-10-01 13:23:04.94,2016-10-01 08:23:04.94,26.96642601490021,46.801019,-92.111909,5,349.8263816833496,4,29.71315644400228,0,0,166.640625,271.7525329589844,272.6742553710938,20,1.889063401945544
2016-10-01 13:23:09.00,2016-10-01 08:23:09.00,31.02498060464859,46.800996,-92.111971,5,349.4189109802246,4,35.06088569675868,1.019999980926514,0,258.75,305.755859375,306.6775817871094,20,-82.90569380351289
2016-10-01 13:23:15.00,2016-10-01 08:23:15.00,37.0249810218811,46.800969,-92.112040,5,349.8312644958496,4,41.11377775806265,1.429999947547913,0,241.171875,265.204345703125,266.1260681152344,20,-21.86640399969945
2016-10-01 13:23:19.53,2016-10-01 08:23:19.53,37.0249810218811,46.800969,-92.112040,5,349.6678123474121,4,41.11377775806265,1.429999947547913,1.064727687464849,241.171875,265.204345703125,266.1260681152344,20,-21.86640399969945
2016-10-01 13:23:20.00,2016-10-01 08:23:20.00,42.02498096227646,46.800953,-92.112117,5,348.4656028747559,4,47.26437505063463,1.190000057220459,1.064727687464849,254.53125,252.4849395751953,253.4066619873047,20,-40.44811753941645
2016-10-01 13:23:24.00,2016-10-01 08:23:24.00,46.02498060464859,46.800928,-92.112178,5,347.7074241638184,3,52.6725705005239,1.139999985694885,1.064727687464849,233.0859375,232.1563720703125,233.0780944824219,20,-22.15459076708457
2016-10-01 13:23:28.00,2016-10-01 08:23:28.00,50.0249810218811,46.800898,-92.112232,5,346.9617576599121,3,58.01269333879827,1.179999947547913,1.064727687464849,228.1640625,219.9666900634766,220.8884124755859,20,-14.01896541080653
2016-10-01 13:23:32.00,2016-10-01 08:23:32.00,54.02498131990433,46.800862,-92.112272,5,345.5812034606934,3,63.05438176251718,1.320000052452087,1.064727687464849,209.53125,212.8125610351562,213.7342834472656,20,-10.95267669043998
2016-10-01 13:23:34.52,2016-10-01 08:23:34.52,54.02498131990433,46.800862,-92.112272,5,345.4438743591309,3,63.05438176251718,1.320000052452087,1.276666720708211,209.53125,212.8125610351562,213.7342834472656,20,-10.95267669043998
2016-10-01 13:23:37.00,2016-10-01 08:23:37.00,59.02498131990433,46.800812,-92.112304,5,344.9076805114746,3,69.0983132088988,1.259999990463257,1.276666720708211,192.65625,185.4269866943359,186.3487091064453,20,-8.825073347823828
