Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2016-11-04 12:04:21.00,2016-11-04 07:04:21.00,0,46.800883,-92.111362,5,348.537841796875,6,0,0,0,238.7109375,267.3461608886719,268.2734680175781,20,-1.360948987627842
2016-11-04 12:04:21.58,2016-11-04 07:04:21.58,0,46.800883,-92.111362,5,348.537841796875,6,0,0,0.6796358211438713,238.7109375,267.3461608886719,268.2734680175781,20,-1.360948987627842
2016-11-04 12:04:22.00,2016-11-04 07:04:22.00,0.4498571157455444,46.800883,-92.111362,5,348.5101318359375,6,0.09504164755344391,0,0.6796358211438713,238.7109375,263.2575988769531,264.1849060058594,20,-1.346184581804839
2016-11-04 12:04:27.00,2016-11-04 07:04:27.00,5.449857413768768,46.800883,-92.111441,5,350.0855712890625,6,6.156881078207537,1.25,0.6796358211438713,247.1484375,249.8212127685547,250.7485046386719,20,-1.627991861162324
2016-11-04 12:04:31.00,2016-11-04 07:04:31.00,9.449857473373413,46.800871,-92.111508,5,350.0934448242188,6,11.41432524768771,1.169999957084656,0.6796358211438713,247.1484375,243.7703552246094,244.6976470947266,20,-3.408061397717997
2016-11-04 12:04:35.16,2016-11-04 07:04:35.16,9.449857473373413,46.800871,-92.111508,5,350.1293334960938,6,11.41432524768771,1.169999957084656,1.200000047683716,247.1484375,243.7703552246094,244.6976470947266,20,-3.408061397717997
2016-11-04 12:04:36.00,2016-11-04 07:04:36.00,14.44985735416412,46.800853,-92.111576,5,350.5465698242188,4,17.00161022735289,1.230000019073486,1.200000047683716,253.4765625,255.7359771728516,256.6632690429688,20,-10.91527924202662
2016-11-04 12:04:40.00,2016-11-04 07:04:40.00,18.44985646009445,46.800838,-92.111642,5,348.1673583984375,4,22.28476332359109,1.200000047683716,1.200000047683716,250.6640625,241.9024963378906,242.8297882080078,20,-5.937057069904225
2016-11-04 12:04:45.00,2016-11-04 07:04:45.00,23.44985681772232,46.800822,-92.111717,5,347.961669921875,4,28.24289684381516,1.259999990463257,1.200000047683716,248.5546875,240.2156219482422,241.1429138183594,20,-9.103226571144532
2016-11-04 12:04:49.00,2016-11-04 07:04:49.00,27.44985753297806,46.800811,-92.111784,5,347.993408203125,4,33.52604994005337,1.320000052452087,1.200000047683716,252.0703125,241.4187469482422,242.3460388183594,20,-14.13127974315531
2016-11-04 12:04:50.16,2016-11-04 07:04:50.16,27.44985753297806,46.800811,-92.111784,5,347.993408203125,4,33.52604994005337,1.320000052452087,1.262430265214316,252.0703125,241.4187469482422,242.3460388183594,20,-14.13127974315531
2016-11-04 12:04:53.00,2016-11-04 07:04:53.00,31.4498570561409,46.800796,-92.111846,5,348.3817138671875,4,38.52455394154391,1.100000023841858,1.262430265214316,243.6328125,241.5900421142578,242.517333984375,20,-27.04592339617252
2016-11-04 12:04:58.00,2016-11-04 07:04:58.00,36.44985800981522,46.800780,-92.111925,5,348.34912109375,4,44.77855433750548,1.25,1.262430265214316,253.4765625,244.5717010498047,245.4989929199219,20,-34.13327193287672
2016-11-04 12:05:02.00,2016-11-04 07:05:02.00,40.44985783100128,46.800760,-92.111989,5,348.1430053710938,4,50.13134852833745,1.25,1.262430265214316,243.984375,246.1254730224609,247.0527648925781,20,-26.98793740077289
2016-11-04 12:05:05.16,2016-11-04 07:05:05.16,40.44985783100128,46.800760,-92.111989,5,347.8445434570312,4,50.13134852833745,1.25,1.249283218137854,243.984375,246.1254730224609,247.0527648925781,20,-26.98793740077289
